Source,Site,Kind,location,substrate,type,1302,1300,1298,1296,1292,1292',Ia,Ib,Ic,IIa,IIa',IIb,IIb',IIc,IIc',IIIa,IIIa',IIIb,IIIb',IIIc,IIIc',Iia-tot,Iib-tot,Iic-tot,,iiia-tot,IIIb-tot,IIIc-tot,FR.TETR,FR.PEN,FR.HEX,Br6/5+6,NoRINGStetra,NoRINGSpenta5,NoRINGSpenta6,NoRINGSpenta,IRpenta,IRhexa
"Ding et al., 2016",P760,core lipid,Global soil,soil,modern,,,,,,,10.024,4.506,0,15.556,30.06,0,18.173,0,0,6.002,15.678,0,0,0,0,45.617,18.173,0,,21.68,0,0,14.53,63.79,21.68,0.748,0.31,0,0.377,0.285,0.756,0.723
"Ding et al., 2017",P765,core lipid,Global soil,soil,modern,,,,,,,12.554,6.299,1.124,6.712,23.294,4.226,14.745,0.221,0.347,6.256,20.26,2.215,1.326,0.42,0,30.006,18.972,0.568,,26.516,3.541,0.42,19.977,49.545,30.477,0.749,0.428,0.418,0.402,0.406,0.775,0.708
"Ding et al., 2018",P773,core lipid,Global soil,soil,modern,,,,,,,8.334,0,0,16.226,28.642,3.166,13.391,0,0,7.313,22.928,0,0,0,0,44.868,16.557,0,,30.241,0,0,8.334,61.425,30.241,0.709,0,0.163,0.319,0.27,0.684,0.758
"Ding et al., 2019",P775,core lipid,Global soil,soil,modern,,,,,,,10.951,5.545,1.037,9.814,28.874,4.418,8.953,0,0,8.167,22.241,0,0,0,0,38.688,13.371,0,,30.408,0,0,17.533,52.059,30.408,0.728,0.435,0.31,0.237,0.257,0.727,0.731
"Ding et al., 2020",P782,core lipid,Global soil,soil,modern,,,,,,,4.967,2.849,0.511,16.419,21.416,7.416,6.923,0.167,0.254,4.684,31.462,1.296,1.275,0.145,0,37.835,14.339,0.421,,36.147,2.572,0.145,8.327,52.594,38.863,0.671,0.465,0.323,0.26,0.289,0.544,0.842
"Ding et al., 2021",P787,core lipid,Global soil,soil,modern,,,,,,,7.362,3.018,0.468,4.486,36.996,3.738,6.303,0,0,4.099,29.16,2.095,1.602,0.673,0,41.482,10.042,0,,33.259,3.696,0.673,10.848,51.524,37.628,0.831,0.364,0.455,0.146,0.195,0.84,0.818
"Ding et al., 2022",P796,core lipid,Global soil,soil,modern,,,,,,,6.581,2.726,0,7.276,24.473,6.164,10.188,0.544,0,9.34,29.962,2.099,0.647,0,0,31.749,16.352,0.544,,39.302,2.746,0,9.308,48.644,42.048,0.72,0.293,0.519,0.294,0.358,0.713,0.728
"Ding et al., 2023",P801,core lipid,Global soil,soil,modern,,,,,,,6.398,1.277,0,6.304,31.859,5.72,6.784,0,0,8.165,33.494,0,0,0,0,38.163,12.504,0,,41.658,0,0,7.675,50.667,41.658,0.781,0.166,0.476,0.176,0.247,0.763,0.804
"Ding et al., 2024",P802,core lipid,Global soil,soil,modern,,,,,,,7.571,1.199,0,11.524,24.858,13.135,6.461,0,0,9.147,26.105,0,0,0,0,36.382,19.596,0,,35.252,0,0,8.77,55.978,35.252,0.629,0.137,0.533,0.206,0.35,0.559,0.741
"Ding et al., 2025",P804,core lipid,Global soil,soil,modern,,,,,,,9.968,1.657,0,10.927,27.909,5.283,7.314,0,0,11.027,25.916,0,0,0,0,38.836,12.597,0,,36.942,0,0,11.625,51.433,36.942,0.692,0.143,0.326,0.208,0.245,0.685,0.702
"Ding et al., 2026",P816,core lipid,Global soil,soil,modern,,,,,,,16.439,3.01,0,10.308,44.403,0,0,0,0,4.976,13.577,2.556,4.73,0,0,54.712,0,0,,18.553,7.286,0,19.45,54.712,25.839,0.779,0.155,0,0,0,0.812,0.709
"Ding et al., 2027",P817,core lipid,Global soil,soil,modern,,,,,,,28.22,1.822,0.167,29.013,24.237,1.479,1.616,0.205,0.072,8.354,4.415,0.172,0.23,0,0,53.249,3.095,0.277,,12.769,0.401,0,30.209,56.621,13.17,0.438,0.071,0.062,0.068,0.064,0.458,0.353
"Ding et al., 2028",P818,core lipid,Global soil,soil,modern,,,,,,,26.967,2.363,0,30.478,23.943,1.706,1.486,0,0,9.397,3.661,0,0,0,0,54.421,3.192,0,,13.058,0,0,29.329,57.613,13.058,0.412,0.081,0.053,0.058,0.055,0.441,0.28
"Ding et al., 2029",P819,core lipid,Global soil,soil,modern,,,,,,,27.084,3.157,0,25.594,26.319,2.03,2.691,0,0,7.769,5.356,0,0,0,0,51.913,4.722,0,,13.125,0,0,30.241,56.635,13.125,0.493,0.104,0.074,0.093,0.083,0.512,0.408
"Ding et al., 2030",P820,core lipid,Global soil,soil,modern,,,,,,,24.251,4.261,0.515,21.582,23.921,2.145,3.529,0.289,0,10.354,8.078,0.268,0.547,0.155,0,45.503,5.674,0.289,,18.433,0.815,0.155,29.027,51.466,19.403,0.509,0.182,0.113,0.129,0.121,0.533,0.445
"Ding et al., 2031",P821,core lipid,Global soil,soil,modern,,,,,,,22.777,5.394,0,19.65,29.902,2.261,3.279,0,0,9.411,7.326,0,0,0,0,49.552,5.54,0,,16.737,0,0,28.171,55.092,16.737,0.564,0.191,0.103,0.099,0.101,0.602,0.438
"Ding et al., 2032",P831,core lipid,Global soil,soil,modern,,,,,,,3.744,2.861,1.268,4.218,31.767,5.921,6.884,0.418,0.561,5.635,31.821,1.522,2.436,0.73,0,35.984,12.805,0.979,,37.456,3.958,0.73,7.873,49.769,42.144,0.799,0.685,0.64,0.204,0.297,0.788,0.813
"Ding et al., 2033",P833,core lipid,Global soil,soil,modern,,,,,,,9.99,11.623,1.093,10.327,21.58,7.375,12.557,0.721,0.901,5.544,15.102,0.493,2.25,0.444,0,31.907,19.931,1.622,,20.647,2.743,0.444,22.706,53.46,23.834,0.678,0.608,0.479,0.41,0.434,0.655,0.728
"Ding et al., 2034",P848,core lipid,Global soil,soil,modern,,,,,,,7.603,5.617,0.56,7.512,31.07,4.793,9.45,0.343,0.427,7.707,22.674,1.423,0.488,0.332,0,38.581,14.243,0.771,,30.381,1.911,0.332,13.781,53.595,32.624,0.744,0.489,0.433,0.252,0.295,0.764,0.71
"Ding et al., 2035",P851,core lipid,Global soil,soil,modern,,,,,,,8.223,1.696,0.522,7.686,34.994,4.677,3.42,0,0,9.708,24.815,1.779,1.712,0.547,0,42.681,8.097,0,,34.523,3.491,0.547,10.441,50.778,38.561,0.727,0.262,0.378,0.089,0.159,0.757,0.688
"Ding et al., 2036",P858,core lipid,Global soil,soil,modern,,,,,,,15.13,2.349,0,22.162,24.383,2.751,4.826,0.718,0,12.24,15.441,0,0,0,0,46.545,7.577,0.718,,27.681,0,0,17.479,54.84,27.681,0.541,0.134,0.163,0.165,0.164,0.533,0.558
"Ding et al., 2037",P859,core lipid,Global soil,soil,modern,,,,,,,21.895,1.658,0,29.025,24.515,2.02,1.187,0.646,0,12.425,6.629,0,0,0,0,53.54,3.207,0.646,,19.054,0,0,23.553,57.393,19.054,0.423,0.07,0.105,0.046,0.078,0.448,0.348
"Ding et al., 2038",P860,core lipid,Global soil,soil,modern,,,,,,,24.056,1.806,0,31.981,21.145,1.756,1.219,0,0,11.929,5.768,0.341,0,0,0,53.126,2.975,0,,17.697,0.341,0,25.861,56.101,18.038,0.379,0.07,0.052,0.055,0.053,0.399,0.32
"Ding et al., 2039",P861,core lipid,Global soil,soil,modern,,,,,,,24.415,2.22,0,28.337,27.245,0,0,0,0,12.687,5.096,0,0,0,0,55.583,0,0,,17.782,0,0,26.635,55.583,17.782,0.441,0.083,0,0,0,0.49,0.287
"Ding et al., 2040",P862,core lipid,Global soil,soil,modern,,,,,,,25.404,2.156,0.119,35.263,19.31,1.456,0.912,0.081,0.011,10.777,4.511,0,0,0,0,54.573,2.367,0.092,,15.288,0,0,27.679,57.033,15.288,0.342,0.087,0.044,0.046,0.045,0.355,0.295
"Ding et al., 2041",P863,core lipid,Global soil,soil,modern,,,,,,,22.147,3.778,0.244,20.334,30.341,2.551,2.878,0,0,10.62,7.107,0,0,0,0,50.675,5.429,0,,17.726,0,0,26.169,56.105,17.726,0.546,0.163,0.111,0.087,0.097,0.592,0.401
"De Jonge et al., 2014",Colombia-12,core lipid,Global soil,soil,modern,,,,,,,81,3,1,11,3,0,0,0,0,0,0,0,0,0,0,14,0,0,,0,0,0,85,14,0,0.214,0.059,0,0,0,0.214,
"De Jonge et al., 2014",Colombia-14,core lipid,Global soil,soil,modern,,,,,,,40,3,1,37,2,3,0,0,0,11,1,0,0,0,0,39,3,0,,12,0,0,44,42,12,0.056,0.114,0.075,0,0.071,0.048,0.083
"De Jonge et al., 2014",Colombia-7,core lipid,Global soil,soil,modern,,,,,,,96,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,98,2,0,0,0.031,0,,0,0,
"De Jonge et al., 2014",Colombia-9,core lipid,Global soil,soil,modern,,,,,,,97,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,99,1,0,0,0.03,0,,0,0,
"De Jonge et al., 2014",Ecuador-19,core lipid,Global soil,soil,modern,,,,,,,30,13,6,13,18,3,8,2,0,3,4,0,0,0,0,31,11,2,,7,0,0,49,44,7,0.588,0.51,0.389,0.308,0.341,0.591,0.571
"De Jonge et al., 2014",Ecuador-6,core lipid,Global soil,soil,modern,,,,,,,86,6,1,4,2,0,0,0,0,0,0,0,0,0,0,6,0,0,,0,0,0,93,6,0,0.333,0.086,0,0,0,0.333,
"De Jonge et al., 2014",Ecuador-7,core lipid,Global soil,soil,modern,,,,,,,90,4,1,3,2,0,0,0,0,0,0,0,0,0,0,5,0,0,,0,0,0,95,5,0,0.4,0.063,0,0,0,0.4,
"De Jonge et al., 2014",Egypt-1,core lipid,Global soil,soil,modern,,,,,,,34,25,4,2,21,2,8,0,1,0,3,0,1,0,0,23,10,1,,3,1,0,63,34,4,0.895,0.524,0.5,0.333,0.353,0.882,1
"De Jonge et al., 2014",Finland-2,core lipid,Global soil,soil,modern,,,,,,,71,0,0,26,0,0,0,0,0,2,0,0,0,0,0,26,0,0,,2,0,0,71,26,2,0,0,0,,0,0,0
"De Jonge et al., 2014",France-15,core lipid,Global soil,soil,modern,,,,,,,44,2,1,38,4,1,0,0,0,9,1,0,0,0,0,42,1,0,,10,0,0,47,43,10,0.094,0.085,0.026,0,0.023,0.093,0.1
"De Jonge et al., 2014",France-TESO1,core lipid,Global soil,soil,modern,,,,,,,39,2,1,39,4,1,0,0,0,12,1,0,0,0,0,43,1,0,,13,0,0,42,44,13,0.088,0.095,0.025,0,0.023,0.091,0.077
"De Jonge et al., 2014",France-TESO10,core lipid,Global soil,soil,modern,,,,,,,19,4,1,18,19,2,2,0,0,10,24,0,0,0,0,37,4,0,,34,0,0,24,41,34,0.6,0.25,0.1,0.095,0.098,0.512,0.706
"De Jonge et al., 2014",France-TESO11,core lipid,Global soil,soil,modern,,,,,,,16,5,1,15,21,3,4,1,0,8,24,0,1,0,0,36,7,1,,32,1,0,22,44,33,0.649,0.318,0.263,0.16,0.205,0.568,0.758
"De Jonge et al., 2014",France-TESO12,core lipid,Global soil,soil,modern,,,,,,,18,5,1,17,23,3,3,0,0,8,21,0,1,0,0,40,6,0,,29,1,0,24,46,30,0.632,0.292,0.15,0.115,0.13,0.565,0.733
"De Jonge et al., 2014",France-TESO13,core lipid,Global soil,soil,modern,,,,,,,18,11,2,18,18,9,7,1,0,7,7,0,1,0,0,36,16,1,,14,1,0,31,53,15,0.485,0.484,0.393,0.28,0.34,0.472,0.533
"De Jonge et al., 2014",France-TESO14,core lipid,Global soil,soil,modern,,,,,,,14,4,1,14,26,2,5,0,0,7,24,0,1,0,0,40,7,0,,31,1,0,19,47,32,0.709,0.316,0.125,0.161,0.149,0.66,0.781
"De Jonge et al., 2014",France-TESO14B,core lipid,Global soil,soil,modern,,,,,,,14,7,1,10,26,4,10,0,1,6,20,0,2,0,0,36,14,1,,26,2,0,22,51,28,0.747,0.409,0.286,0.324,0.314,0.725,0.786
"De Jonge et al., 2014",France-TESO15,core lipid,Global soil,soil,modern,,,,,,,19,5,1,18,20,3,5,0,0,9,19,0,1,0,0,38,8,0,,28,1,0,25,46,29,0.6,0.28,0.143,0.2,0.174,0.543,0.69
"De Jonge et al., 2014",France-TESO16,core lipid,Global soil,soil,modern,,,,,,,21,7,2,23,18,4,3,1,0,10,12,0,1,0,0,41,7,1,,22,1,0,30,49,23,0.472,0.367,0.214,0.143,0.184,0.429,0.565
"De Jonge et al., 2014",France-TESO18,core lipid,Global soil,soil,modern,,,,,,,43,2,0,35,5,1,0,0,0,11,1,0,0,0,0,40,1,0,,12,0,0,45,41,12,0.113,0.044,0.028,0,0.024,0.122,0.083
"De Jonge et al., 2014",France-TESO19,core lipid,Global soil,soil,modern,,,,,,,14,8,2,4,33,4,11,0,0,3,18,1,2,0,0,37,15,0,,21,3,0,24,52,24,0.842,0.5,0.5,0.25,0.288,0.846,0.833
"De Jonge et al., 2014",France-TESO2,core lipid,Global soil,soil,modern,,,,,,,33,2,1,43,3,1,0,0,0,16,1,0,0,0,0,46,1,0,,17,0,0,36,47,17,0.063,0.111,0.023,0,0.021,0.064,0.059
"De Jonge et al., 2014",France-TESO22B,core lipid,Global soil,soil,modern,,,,,,,20,8,1,15,21,4,6,1,0,7,16,0,1,0,0,36,10,1,,23,1,0,29,47,24,0.62,0.345,0.3,0.222,0.255,0.574,0.708
"De Jonge et al., 2014",France-TESO24,core lipid,Global soil,soil,modern,,,,,,,19,5,1,16,22,3,6,0,0,9,19,0,1,0,0,38,9,0,,28,1,0,25,47,29,0.632,0.28,0.158,0.214,0.191,0.596,0.69
"De Jonge et al., 2014",France-TESO25,core lipid,Global soil,soil,modern,,,,,,,18,7,1,7,31,2,11,0,1,3,16,0,2,0,0,38,13,1,,19,2,0,26,52,21,0.836,0.346,0.222,0.302,0.288,0.827,0.857
"De Jonge et al., 2014",France-TESO26,core lipid,Global soil,soil,modern,,,,,,,16,10,2,14,20,6,9,1,1,8,13,0,2,0,0,34,15,2,,21,2,0,28,51,23,0.608,0.5,0.381,0.367,0.373,0.588,0.652
"De Jonge et al., 2014",France-TESO28,core lipid,Global soil,soil,modern,,,,,,,17,9,1,11,23,6,8,0,0,6,15,0,2,0,0,34,14,0,,21,2,0,27,48,23,0.676,0.407,0.353,0.258,0.292,0.646,0.739
"De Jonge et al., 2014",France-TESO3,core lipid,Global soil,soil,modern,,,,,,,38,3,1,43,3,1,0,1,0,10,1,0,0,0,0,46,1,1,,11,0,0,42,48,11,0.068,0.119,0.067,0,0.063,0.063,0.091
"De Jonge et al., 2014",France-TESO30,core lipid,Global soil,soil,modern,,,,,,,29,7,1,20,20,3,6,0,0,7,9,0,0,0,0,40,9,0,,16,0,0,37,49,16,0.538,0.243,0.13,0.231,0.184,0.531,0.563
"De Jonge et al., 2014",France-TESO31,core lipid,Global soil,soil,modern,,,,,,,17,14,1,4,26,1,15,0,1,4,15,0,2,0,0,30,16,1,,19,2,0,32,47,21,0.868,0.5,0.2,0.405,0.383,0.894,0.81
"De Jonge et al., 2014",France-TESO33,core lipid,Global soil,soil,modern,,,,,,,58,5,2,29,0,1,1,0,0,3,1,0,0,0,0,29,2,0,,4,0,0,65,31,4,0.057,0.138,0.033,1,0.065,0.032,0.25
"De Jonge et al., 2014",France-TESO34,core lipid,Global soil,soil,modern,,,,,,,14,14,4,13,13,10,10,1,2,7,10,1,2,0,0,26,20,3,,17,3,0,32,49,20,0.536,0.688,0.5,0.56,0.531,0.51,0.6
"De Jonge et al., 2014",France-TESO36,core lipid,Global soil,soil,modern,,,,,,,18,7,1,13,24,6,8,0,1,7,15,0,0,0,0,37,14,1,,22,0,0,26,52,22,0.649,0.346,0.316,0.303,0.308,0.635,0.682
"De Jonge et al., 2014",France-TESO4,core lipid,Global soil,soil,modern,,,,,,,34,1,0,47,0,1,0,0,0,16,1,0,0,0,0,47,1,0,,17,0,0,35,48,17,0.015,0.029,0.021,,0.021,0,0.059
"De Jonge et al., 2014",France-TESO43,core lipid,Global soil,soil,modern,,,,,,,20,6,1,20,20,5,6,0,0,9,10,1,1,0,0,40,11,0,,19,2,0,27,51,21,0.514,0.296,0.2,0.231,0.216,0.51,0.524
"De Jonge et al., 2014",France-TESO43B,core lipid,Global soil,soil,modern,,,,,,,18,6,1,21,21,4,7,0,0,9,12,0,1,0,0,42,11,0,,21,1,0,25,53,22,0.547,0.32,0.16,0.25,0.208,0.528,0.591
"De Jonge et al., 2014",France-TESO47,core lipid,Global soil,soil,modern,,,,,,,22,12,2,10,21,5,9,0,1,4,11,0,2,0,0,31,14,1,,15,2,0,36,46,17,0.698,0.444,0.333,0.355,0.348,0.674,0.765
"De Jonge et al., 2014",France-TESO48,core lipid,Global soil,soil,modern,,,,,,,36,3,1,40,4,1,0,0,0,14,1,0,0,0,0,44,1,0,,15,0,0,40,45,15,0.083,0.125,0.024,0,0.022,0.089,0.067
"De Jonge et al., 2014",France-TESO49,core lipid,Global soil,soil,modern,,,,,,,38,3,1,44,2,2,0,1,0,9,1,0,0,0,0,46,2,1,,10,0,0,42,49,10,0.051,0.119,0.085,0,0.082,0.041,0.1
"De Jonge et al., 2014",France-TESO5,core lipid,Global soil,soil,modern,,,,,,,40,5,1,32,5,2,0,1,0,11,2,1,0,1,0,37,2,1,,13,1,1,46,40,15,0.127,0.152,0.114,0,0.1,0.125,0.133
"De Jonge et al., 2014",France-TESO51,core lipid,Global soil,soil,modern,,,,,,,16,5,1,16,20,3,4,1,0,9,23,0,1,0,0,36,7,1,,32,1,0,22,44,33,0.623,0.318,0.25,0.167,0.205,0.545,0.727
"De Jonge et al., 2014",France-TESO6,core lipid,Global soil,soil,modern,,,,,,,33,2,1,42,7,1,0,0,0,13,1,0,0,0,0,49,1,0,,14,0,0,36,50,14,0.125,0.111,0.023,0,0.02,0.14,0.071
"De Jonge et al., 2014",France-TESO7,core lipid,Global soil,soil,modern,,,,,,,14,13,3,9,16,13,10,1,1,5,11,1,2,0,0,25,23,2,,16,3,0,30,50,19,0.58,0.633,0.652,0.444,0.54,0.54,0.684
"De Jonge et al., 2014",France-TESO8,core lipid,Global soil,soil,modern,,,,,,,40,2,1,31,12,1,1,0,0,8,3,0,0,0,0,43,2,0,,11,0,0,43,45,11,0.286,0.093,0.031,0.077,0.044,0.289,0.273
"De Jonge et al., 2014",Gabon-1,core lipid,Global soil,soil,modern,,,,,,,87,1,1,9,1,0,0,0,0,1,0,0,0,0,0,10,0,0,,1,0,0,89,10,1,0.091,0.034,0,0,0,0.1,0
"De Jonge et al., 2014",Gabon-2,core lipid,Global soil,soil,modern,,,,,,,97,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,99,1,0,0,0.03,0,,0,0,
"De Jonge et al., 2014",Gabon-4,core lipid,Global soil,soil,modern,,,,,,,93,3,1,2,1,0,0,0,0,0,0,0,0,0,0,3,0,0,,0,0,0,97,3,0,0.333,0.052,0,0,0,0.333,
"De Jonge et al., 2014",Gabon-5,core lipid,Global soil,soil,modern,,,,,,,97,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,0,0,0,97,2,0,0,0,0,,0,0,
"De Jonge et al., 2014",Gabon-6,core lipid,Global soil,soil,modern,,,,,,,68,17,4,3,5,1,1,0,0,0,0,0,0,0,0,8,2,0,,0,0,0,89,10,0,0.6,0.281,0.25,0.167,0.2,0.6,
"De Jonge et al., 2014",Galapagos,core lipid,Global soil,soil,modern,,,,,,,90,1,1,6,1,0,0,0,0,0,0,0,0,0,0,7,0,0,,0,0,0,92,7,0,0.143,0.033,0,0,0,0.143,
"De Jonge et al., 2014",Germany-G1,core lipid,Global soil,soil,modern,,,,,,,44,3,1,22,6,4,3,1,0,8,6,0,1,0,0,28,7,1,,14,1,0,48,36,15,0.314,0.104,0.222,0.333,0.25,0.25,0.467
"De Jonge et al., 2014",Germany-G2,core lipid,Global soil,soil,modern,,,,,,,12,7,1,13,11,14,5,1,1,15,16,2,2,0,0,24,19,2,,31,4,0,20,45,35,0.438,0.45,0.571,0.412,0.511,0.378,0.514
"De Jonge et al., 2014",Germany-H1,core lipid,Global soil,soil,modern,,,,,,,25,12,4,30,7,6,2,1,0,9,3,0,0,0,0,37,8,1,,12,0,0,41,46,12,0.207,0.488,0.216,0.222,0.217,0.196,0.25
"De Jonge et al., 2014",Greece-5,core lipid,Global soil,soil,modern,,,,,,,12,7,3,5,34,5,7,0,0,6,22,0,0,0,0,39,12,0,,28,0,0,22,51,28,0.797,0.591,0.5,0.171,0.235,0.804,0.786
"De Jonge et al., 2014",Greenland-5,core lipid,Global soil,soil,modern,,,,,,,35,2,1,28,16,2,0,1,0,13,3,0,0,0,0,44,2,1,,16,0,0,38,47,16,0.302,0.105,0.129,0,0.085,0.34,0.188
"De Jonge et al., 2014",Iceland-6,core lipid,Global soil,soil,modern,,,,,,,28,8,2,31,12,3,2,1,0,10,3,0,0,0,0,43,5,1,,13,0,0,38,49,13,0.274,0.316,0.143,0.143,0.143,0.286,0.231
"De Jonge et al., 2014",Iceland-3a,core lipid,Global soil,soil,modern,,,,,,,33,4,1,44,2,1,0,1,0,14,1,0,0,0,0,46,1,1,,15,0,0,38,48,15,0.048,0.158,0.065,0,0.063,0.042,0.067
"Dearing Crampton-Flood et al., 2020",IndiaETH1,core lipid,Global soil,soil,modern,,,,,,,40.048,21.671,2.315,2.7,21.848,0.796,7.8,0,0,0.337,2.485,0,0,0,0,24.547,8.595,0,,2.823,0,0,64.035,33.143,2.823,0.893,0.411,0.228,0.263,0.259,0.895,0.881
"Dearing Crampton-Flood et al., 2020",IndiaETH2,core lipid,Global soil,soil,modern,,,,,,,44.876,24.335,2.554,2.126,19.836,0.509,3.777,0,0.282,0.449,1.254,0,0,0,0,21.962,4.287,0.282,,1.704,0,0,71.766,26.53,1.704,0.891,0.41,0.193,0.182,0.183,0.901,0.736
"Dearing Crampton-Flood et al., 2020",IndiaETH5,core lipid,Global soil,soil,modern,,,,,,,37.857,23.025,2.642,6.411,13.677,3.405,7.585,0.242,0.588,1.177,2.76,0.179,0.453,0,0,20.088,10.99,0.829,,3.937,0.632,0,63.524,31.908,4.569,0.687,0.446,0.387,0.401,0.396,0.685,0.703
"Dearing Crampton-Flood et al., 2020",IndiaETH6,core lipid,Global soil,soil,modern,,,,,,,43.441,16.649,2.196,5.256,17.845,2.105,7.36,0.176,0.615,0.828,3.119,0.086,0.325,0,0,23.102,9.464,0.791,,3.947,0.411,0,62.286,33.357,4.357,0.776,0.338,0.326,0.333,0.331,0.774,0.79
"Dearing Crampton-Flood et al., 2020",IndiaETH7,core lipid,Global soil,soil,modern,,,,,,,40.333,19.694,2.442,3.062,22.255,1.425,7.136,0,0.453,0.383,2.566,0,0.251,0,0,25.317,8.561,0.453,,2.949,0.251,0,62.468,34.332,3.2,0.87,0.393,0.318,0.27,0.276,0.869,0.88
"Dearing Crampton-Flood et al., 2020",IndiaETH8,core lipid,Global soil,soil,modern,,,,,,,27.998,21.665,1.954,3.802,25.897,1.392,10.743,0.14,0.882,0.576,4.258,0.088,0.607,0,0,29.698,12.135,1.022,,4.834,0.695,0,51.616,42.855,5.528,0.876,0.495,0.313,0.333,0.331,0.876,0.88
"Dearing Crampton-Flood et al., 2020",IndiaG10,core lipid,Global soil,soil,modern,,,,,,,50.664,21.238,3.265,4.596,13.217,1.306,5.714,0,0,0,0,0,0,0,0,17.813,7.019,0,,0,0,0,75.168,24.832,0,0.762,0.369,0.221,0.302,0.283,0.762,
"Dearing Crampton-Flood et al., 2020",IndiaG14,core lipid,Global soil,soil,modern,,,,,,,57.009,19.198,4.197,4.499,7.038,1.13,4.63,0.135,0.718,0.364,0.967,0,0.116,0,0,11.537,5.76,0.853,,1.331,0.116,0,80.404,18.149,1.447,0.687,0.343,0.243,0.49,0.411,0.682,0.749
"Dearing Crampton-Flood et al., 2020",IndiaG15,core lipid,Global soil,soil,modern,,,,,,,59.259,14.88,2.755,4.88,10.805,0.787,4.25,0,0.47,0.526,1.388,0,0,0,0,15.685,5.037,0.47,,1.914,0,0,76.894,21.192,1.914,0.732,0.265,0.139,0.334,0.282,0.733,0.725
"Dearing Crampton-Flood et al., 2020",IndiaG17,core lipid,Global soil,soil,modern,,,,,,,50.598,24.615,4.321,2.785,9.845,0.979,4.952,0,0.433,0.327,1.144,0,0,0,0,12.63,5.931,0.433,,1.472,0,0,79.534,18.994,1.472,0.8,0.418,0.26,0.382,0.358,0.802,0.778
"Dearing Crampton-Flood et al., 2020",IndiaG19,core lipid,Global soil,soil,modern,,,,,,,49.002,17.813,3.063,4.317,15.437,1.16,6.756,0,0.668,0,1.784,0,0,0,0,19.754,7.916,0.668,,1.784,0,0,69.879,28.338,1.784,0.818,0.343,0.212,0.354,0.326,0.807,1
"Dearing Crampton-Flood et al., 2020",IndiaG20,core lipid,Global soil,soil,modern,,,,,,,79.667,12.991,2.971,2.533,1.838,0,0,0,0,0,0,0,0,0,0,4.371,0,0,,0,0,0,95.629,4.371,0,0.421,0.198,0,0,0,0.421,
"Dearing Crampton-Flood et al., 2020",IndiaG21,core lipid,Global soil,soil,modern,,,,,,,92.075,4.593,0,1.285,2.048,0,0,0,0,0,0,0,0,0,0,3.333,0,0,,0,0,0,96.667,3.333,0,0.614,0.048,0,0,0,0.614,
"Dearing Crampton-Flood et al., 2020",IndiaG22,core lipid,Global soil,soil,modern,,,,,,,75.359,11.03,2.828,4.48,3.294,0.622,0.85,0.874,0,0.329,0.334,0,0,0,0,7.774,1.472,0.874,,0.663,0,0,89.217,10.12,0.663,0.415,0.187,0.396,0.205,0.318,0.41,0.504
"Dearing Crampton-Flood et al., 2020",IndiaG23,core lipid,Global soil,soil,modern,,,,,,,64.717,12.048,1.939,4.711,10.575,0.584,3.276,0,0.327,0.492,1.331,0,0,0,0,15.285,3.86,0.327,,1.823,0,0,78.704,19.473,1.823,0.728,0.202,0.11,0.277,0.232,0.728,0.73
"Dearing Crampton-Flood et al., 2020",IndiaG24,core lipid,Global soil,soil,modern,,,,,,,73.941,9.076,1.642,4.86,6.618,0.595,1.836,0,0.143,0.428,0.86,0,0,0,0,11.478,2.431,0.143,,1.289,0,0,84.66,14.052,1.289,0.616,0.146,0.109,0.247,0.193,0.612,0.668
"Dearing Crampton-Flood et al., 2020",IndiaG25,core lipid,Global soil,soil,modern,,,,,,,50.748,20.041,3.904,5.168,12.115,1.411,4.28,0,0.48,0.422,1.431,0,0,0,0,17.283,5.691,0.48,,1.853,0,0,74.693,23.454,1.853,0.723,0.373,0.215,0.311,0.284,0.719,0.772
"Dearing Crampton-Flood et al., 2020",IndiaG26,core lipid,Global soil,soil,modern,,,,,,,67.415,14.946,3.532,3.799,7.184,0,3.124,0,0,0,0,0,0,0,0,10.983,3.124,0,,0,0,0,85.893,14.107,0,0.731,0.256,0,0.303,0.221,0.731,
"Dearing Crampton-Flood et al., 2020",IndiaG27,core lipid,Global soil,soil,modern,,,,,,,90.452,4.662,1.306,1.375,2.026,0,0.178,0,0,0,0,0,0,0,0,3.402,0.178,0,,0,0,0,96.42,3.58,0,0.616,0.075,0,0.081,0.05,0.616,
"Dearing Crampton-Flood et al., 2020",IndiaG28,core lipid,Global soil,soil,modern,,,,,,,53.351,17.567,2.947,4.331,14.583,1.051,3.661,0.123,0.37,0.37,1.533,0,0.113,0,0,18.914,4.712,0.493,,1.903,0.113,0,73.865,24.119,2.016,0.775,0.318,0.235,0.236,0.236,0.772,0.816
"Dearing Crampton-Flood et al., 2020",IndiaG29,core lipid,Global soil,soil,modern,,,,,,,46.158,20.917,3.17,4.222,13.926,1.164,7.055,0.171,0.639,0.488,1.858,0,0.232,0,0,18.148,8.219,0.81,,2.346,0.232,0,70.245,27.177,2.579,0.797,0.388,0.271,0.385,0.362,0.795,0.811
